Symbol,Start,End,Label,Market Cap,Sector,Income,Sales,Employees,Analyst Rating (1 buy/5 sell),price-to-earnings,Price/Earnings-to-Growth,Price-to-Sales Ratio,Price-to-Book,Price to free cash flow,debt-to-equity,EPS (ttm),Inst Own,ROE,ROI,Profit Margin,Shs Outstand,Beta
EHC,65.47,52.48,DOWN,5401960672,Health Care,391.10M,5.22B,28000,1.60,14.02,1.05,1.03,2.72,45.38,1.64,3.92,96.80%,20.20%,12.80%,7.50%,99.20M,1.08
EIG,31.75,41.14,UP,1198124575,Finance,56.00M,691.50M,608,2.70,22.10,2.21,1.73,1.31,44.07,0.02,1.99,80.90%,5.30%,9.90%,8.10%,27.31M,0.22
EIX,60.49,67.63,UP,22786746784,Utilities,507.00M,16.61B,13003,2.40,43.39,9.97,1.32,1.59,-,2.12,1.33,90.20%,4.40%,3.90%,3.70%,381.87M,0.74
EL,254.99,367.34,UP,71499789508,Consumer Discretionary,2.39B,17.74B,63000,2.00,31.54,2.90,4.02,13.19,61.49,0.97,6.53,92.10%,39.80%,23.10%,13.50%,357.90M,0.96
ELAN,30.5,28.71,DOWN,6194294798,Health Care,-175.00M,4.65B,9000,2.80,-,-,1.36,0.92,14.87,0.85,-0.36,-,-2.30%,-1.70%,-3.80%,488.40M,0.92
ELF,25.1,32.62,UP,2265784513,Consumer Discretionary,28.00M,417.70M,303,2.00,96.38,13.48,6.23,7.77,65.19,0.29,0.52,97.00%,9.00%,6.30%,6.70%,51.71M,1.52
ELME,21.27,25.78,UP,1668074518,Real Estate,-34.70M,198.50M,53,2.70,-,-,8.27,1.27,117.33,0.42,-0.40,96.60%,-2.70%,-,-17.50%,87.45M,0.91
ELP,6.98,5.65,DOWN,19142193481,Utilities,432.20M,4.71B,5950,3.00,48.54,-,0.79,5.29,-,0.64,0.16,10.20%,15.50%,12.40%,13.70%,2.74B,0.63
ELS,60.47,87.15,UP,11939020971,Real Estate,277.10M,1.42B,4100,2.20,43.14,6.16,8.01,7.87,27.84,2.28,1.42,95.60%,19.20%,8.00%,19.50%,185.81M,0.63
ELV,318.58,467.15,UP,130295969774,Health Care,6.21B,153.25B,98200,1.80,20.73,1.75,0.83,3.52,13.78,0.66,25.49,94.10%,17.30%,11.70%,4.10%,239.60M,0.94
ELVT,3.88,2.99,DOWN,31978632,Finance,-63.70M,484.20M,436,2.50,-,-,0.06,0.17,0.20,2.79,-1.97,37.70%,-40.60%,0.70%,-13.20%,31.24M,1.90
EME,89.24,127.42,UP,6724155916,Industrials,381.50M,10.77B,34000,1.40,19.63,19.63,0.63,3.87,18.49,0.23,7.42,99.94%,18.70%,15.30%,3.50%,48.87M,1.12
EMN,98.58,119.7,UP,9431693184,Industrials,1.17B,10.90B,14000,2.60,8.88,3.66,0.86,1.81,523.12,0.94,9.07,88.30%,21.00%,9.80%,10.70%,121.00M,1.48
EMR,78.01,92.66,UP,51147450000,Industrials,3.23B,19.63B,86700,2.30,16.84,1.66,2.77,5.24,48.42,1.12,5.42,76.80%,28.00%,15.00%,14.60%,592.80M,1.43
ENB,31.97,38.65,UP,79078148650,Energy,3.60B,38.39B,10900,2.30,22.51,5.36,2.11,2.00,-,1.43,1.77,70.50%,9.00%,4.90%,9.40%,2.03B,0.81
ENIC,4.01,1.77,DOWN,2282496388,Utilities,197.40M,4.25B,2248,2.20,13.85,-,0.64,0.84,-,0.87,0.14,2.70%,6.00%,4.70%,4.60%,1.38B,0.97
ENLC,3.65,6.8,UP,5696912650,Utilities,177.20M,8.86B,1073,2.70,33.74,-,0.65,4.51,10.98,0.00,0.36,90.20%,5.40%,6.90%,0.80%,482.00M,2.58
ENOV,63.74,79.34,UP,2675893316,Industrials,119.40M,2.76B,16200,2.50,24.26,2.43,1.04,0.83,61.71,0.13,2.19,92.80%,2.60%,2.60%,4.10%,54.08M,1.87
ENR,42.24,39.42,DOWN,2057124373,Industrials,206.50M,3.03B,6000,2.50,9.80,2.58,0.68,4.17,-,7.24,2.98,86.80%,47.90%,4.20%,6.80%,71.30M,1.02
ENS,81.12,78.65,DOWN,2663521695,Consumer Discretionary,131.00M,3.44B,11400,1.70,21.70,2.17,0.78,1.91,-,0.99,3.10,99.70%,8.70%,6.30%,3.80%,40.79M,1.36
ENV,79.88,79.94,UP,2726725872,Technology,-30.50M,1.26B,4375,2.70,-,-,2.01,2.74,15.59,0.91,-0.56,-,-3.20%,1.80%,-2.40%,55.20M,1.21
ENVA,23.06,40.55,UP,1185194205,Finance,205.20M,1.11B,1463,1.80,6.30,-,1.05,1.04,1.59,1.80,5.94,96.40%,18.50%,13.40%,18.50%,31.91M,1.50
ENZ,2.66,3.2,UP,104748976,Health Care,-18.30M,107.10M,465,-,-,-,1.01,2.00,-,0.08,-0.38,43.40%,-29.40%,-25.50%,-17.10%,48.72M,0.81
EOG,49.86,89.18,UP,80446331535,Energy,5.71B,22.11B,2800,2.00,14.97,1.42,3.88,3.81,26.41,0.23,9.75,89.70%,26.00%,17.70%,25.80%,586.04M,1.54
EPAC,22.22,20.34,DOWN,1435994189,Industrials,19.60M,571.20M,2200,3.50,80.22,6.58,2.57,4.87,35.96,0.64,0.33,-,4.20%,5.40%,2.70%,59.54M,1.42
EPAM,348.06,673.14,UP,20012628653,Technology,366.30M,4.46B,58824,1.60,51.04,2.56,4.15,6.90,46.69,0.01,6.19,96.00%,14.60%,19.40%,8.20%,57.24M,1.59
EPC,34.37,45.69,UP,2037806734,Consumer Discretionary,109.00M,2.18B,6900,2.60,20.05,-,0.95,1.42,39.90,0.93,2.00,98.30%,7.10%,4.10%,5.00%,52.50M,0.89
EPD,19.29,21.7,UP,55030835225,Utilities,4.85B,51.27B,6911,1.80,11.35,1.11,1.07,2.11,19.68,1.11,2.20,27.60%,17.90%,11.00%,8.90%,2.18B,1.10
EPR,30.93,47.52,UP,2898566308,Real Estate,135.60M,612.50M,53,2.50,21.61,3.09,4.73,1.14,14.85,1.09,1.81,80.60%,5.20%,4.30%,22.10%,74.99M,1.60
EPRT,20.43,28.64,UP,3058262578,Real Estate,128.10M,277.20M,37,2.20,21.78,0.81,10.81,1.19,93.64,0.51,0.98,99.90%,5.70%,4.10%,46.20%,142.38M,1.35
EQC,26.94,26.19,DOWN,2868661626,Real Estate,6.80M,61.70M,25,3.50,424.19,-,46.91,1.08,-,0.00,0.06,-,0.20%,-0.80%,11.00%,111.31M,0.26
EQNR,16.87,26.68,UP,114319226261,Energy,16.24B,127.67B,21126,2.00,7.58,1.31,0.94,2.95,4.07,0.81,5.04,5.30%,40.50%,14.20%,12.70%,3.19B,1.03
