Symbol,Start,End,Label,Market Cap,Sector,Income,Sales,Employees,Recom Analyst Rating (1 buy/5 sell),price-to-earnings,Price/Earnings-to-Growth,Price-to-Sales Ratio,Price-to-Book,Price to free cash flow,debt-to-equity,EPS (ttm),Inst Own,ROE,ROI,Profit Margin,Shs Outstand,Beta
GENC,12.04,11.58,DOWN,140274208,Industrials,-1.20M,100.50M,380,1.00,-,-,1.32,0.80,-,0.00,-0.08,50.20%,-0.70%,-0.10%,-1.20%,14.66M,0.51
GORO,3.31,1.58,DOWN,141396307,Basic Materials,10.90M,149.60M,6,2.00,11.92,-,0.93,1.08,24.49,0.00,0.13,31.00%,9.40%,7.50%,7.30%,88.34M,1.45
GSAT,0.34,1.15,UP,3845135000,Consumer Discretionary,-102.10M,136.70M,329,3.00,-,-,25.45,11.28,38.88,0.78,-0.06,18.20%,-28.60%,-10.30%,-74.70%,1.80B,0.55
GTE,0.36,0.8,UP,487872671,Energy,-,552.80M,319,2.20,-,-,0.85,1.31,2.03,1.60,-2.12,33.60%,-,-,-,368.57M,1.73
HUSA,1.69,1.42,DOWN,37529118,Energy,-0.90M,1.60M,2,-,-,-,23.32,3.69,-,0.00,-0.09,17.90%,-8.40%,-10.00%,-54.80%,9.92M,0.71
IBIO,30.5,14.5,DOWN,19364153,Health Care,-50.40M,2.40M,105,2.50,-,-,7.09,0.24,-,0.35,-5.78,12.90%,-60.30%,-57.30%,-,9.01M,-3.80
ID,6.59,2.44,DOWN,48709541,Consumer Discretionary,-12.80M,408.30M,108,2.00,-,-,0.14,-,-,-,-0.38,2.90%,87.50%,58.10%,-3.10%,33.98M,-0.50
IDW,3.95,1.99,DOWN,19429721,Consumer Discretionary,-1.80M,32.70M,78,1.50,-,-,0.51,0.78,-,0.00,-0.14,20.30%,-8.10%,-,-5.60%,12.91M,0.53
IGC,1.67,0.99,DOWN,23498616,Consumer Discretionary,-16.00M,0.50M,52,-,-,-,42.96,1.09,107.39,0.00,-0.32,6.10%,-,-64.50%,-,52.19M,3.51
IHT,2.18,2.27,UP,17238180,Real Estate,0.70M,7.20M,49,-,27.57,-,2.71,2.95,-,1.57,0.08,3.20%,11.10%,13.10%,9.80%,9.11M,0.19
IMH,3.09,1.11,DOWN,5753650,Finance,-10.50M,42.40M,326,-,-,-,0.13,1.68,-,26.09,-0.49,12.10%,-154.30%,-0.80%,-24.80%,21.51M,0.73
IMO,19.36,35.18,UP,34902588297,Energy,-,52.46B,5400,2.20,-,-,0.67,2.35,10.96,0.24,-1.42,18.10%,-,-,-,663.00M,1.51
INFU,18.65,16.81,DOWN,161212601,Health Care,-0.60M,106.90M,394,1.70,-,-,1.61,3.82,9.53,0.72,-0.03,65.40%,-1.30%,3.70%,-0.60%,20.58M,1.17
INTT,6.47,12.82,UP,90532586,Technology,5.20M,97.20M,303,2.00,19.23,1.28,0.99,1.69,137.53,0.31,0.48,52.60%,9.30%,9.80%,5.30%,10.65M,1.83
INUV,0.47,0.55,UP,44858366,Consumer Discretionary,-8.40M,77.80M,81,2.00,-,-,0.55,1.54,-,0.01,-0.07,16.10%,-26.70%,-,-10.80%,119.83M,0.77
ISDR,17.3,29.79,UP,79261670,Technology,3.00M,22.30M,86,-,32.06,-,3.99,3.21,21.21,0.00,0.79,44.10%,9.70%,10.40%,13.50%,3.74M,0.77
ISR,0.54,0.38,DOWN,44978690,Health Care,-7.30M,10.80M,66,2.00,-,-,3.80,0.70,-,0.00,-0.05,11.80%,-11.40%,-12.10%,-67.40%,142.04M,1.19
ITP,5.52,2.45,DOWN,8275400,Basic Materials,2.90M,137.40M,366,-,1.29,0.06,0.06,0.03,-,0.08,0.55,1.80%,1.40%,-1.70%,2.10%,11.42M,-0.19
JOB,0.97,0.58,DOWN,73001471,Consumer Discretionary,23.40M,165.00M,271,2.00,3.41,-,0.45,0.77,7.23,0.00,0.20,30.90%,24.70%,6.00%,14.20%,114.10M,1.55
KNW,2.22,1.86,DOWN,71225691,Industrials,-22.10M,4.40M,15,2.00,-,-,15.52,12.73,-,0.47,-0.60,0.50%,-907.70%,-,-,43.76M,2.17
LCTX,1.93,2.5,UP,206224352,Health Care,-50.70M,13.20M,57,2.00,-,-,16.97,2.67,60.55,0.00,-0.30,38.30%,-53.00%,-52.80%,-,169.73M,1.68
LGL,5.22,5.14,DOWN,27658506,Technology,13.00M,30.30M,161,1.00,2.10,0.11,0.88,0.51,-,0.00,2.41,24.20%,22.10%,-9.00%,43.00%,5.33M,0.70
LNG,58.91,101.32,UP,44393884958,Utilities,-2531.00M,25.25B,1550,1.70,-,-,1.67,-,9.25,-,-10.00,88.20%,91.20%,-0.40%,-10.00%,253.60M,1.03
LODE,1.1,1.29,UP,34455588,Finance,-46.60M,0.90M,32,-,-,-,34.29,0.43,3.39,0.27,-0.73,6.00%,-,-7.60%,-,76.48M,1.69
LPTV,9.9,6.75,DOWN,214955433,Industrials,-28.00M,21.10M,42,2.00,-,-,11.01,-,-,-,-0.62,0.20%,-,-350.30%,-,51.17M,5.81
LXFR,16.05,19.21,UP,397246159,Industrials,29.30M,405.40M,1400,2.30,13.54,1.04,1.02,2.01,-,0.44,1.06,94.60%,12.00%,11.50%,6.00%,28.94M,0.93
MGLD,1.48,3,UP,49488188,Finance,1.10M,37.80M,87,-,46.79,-,1.21,1.82,-,0.02,0.03,0.40%,4.40%,4.00%,3.00%,40.45M,0.54
MHH,15.4,17.1,UP,177820659,Consumer Discretionary,12.10M,240.50M,1663,-,12.72,0.71,0.61,1.82,31.79,0.13,1.00,15.30%,15.90%,14.90%,5.00%,11.61M,0.51
MLSS,2.31,2.08,DOWN,52042184,Health Care,-7.90M,9.30M,26,2.00,-,-,5.26,3.72,-,0.00,-0.11,7.20%,-52.50%,-43.30%,-85.20%,70.36M,1.32
MSN,1.09,0.84,DOWN,12173174,Consumer Staples,-3.80M,7.20M,23,-,-,-,1.70,0.52,-,0.00,-0.18,5.80%,-15.80%,-16.60%,-52.40%,21.04M,0.39
MTMT,2.01,12.35,UP,58794602,Consumer Discretionary,21.60M,2.50M,8,-,2.02,-,17.99,4.30,-,0.00,0.98,4.70%,274.40%,610.40%,-,22.08M,2.91
MTNB,1.74,1.03,DOWN,169696492,Health Care,-25.40M,1.10M,31,1.70,-,-,149.11,3.80,-,0.00,-0.12,12.70%,-50.60%,-,-,216.87M,2.00
MXC,5.64,9.15,UP,34175714,Energy,3.80M,7.80M,2,-,8.76,-,4.26,2.39,11.09,0.00,1.72,8.40%,32.00%,23.60%,48.40%,2.15M,1.19
MYO,6.8,7.15,UP,10150245,Health Care,-11.20M,16.00M,87,2.00,-,-,0.61,0.92,-,0.00,-1.69,33.80%,-86.20%,-67.30%,-69.90%,6.92M,1.00
NAVB,2.27,1.04,DOWN,7655134,Health Care,-12.10M,0.20M,11,2.00,-,-,35.55,-,-,-,-0.40,4.70%,-,-,-,30.27M,1.35
NBY,0.73,0.39,DOWN,7018743,Health Care,-5.40M,10.20M,29,1.50,-,-,0.65,0.35,-,0.00,-0.11,2.60%,-42.60%,-92.30%,-53.60%,64.99M,2.84
NHC,67.28,67.87,UP,949949426,Health Care,31.00M,1.11B,12965,-,29.44,-,0.82,1.01,-,0.01,2.00,47.00%,3.40%,4.40%,2.80%,15.45M,0.30
NHWK,5.67,3.28,DOWN,39518692,Health Care,-39.30M,1.40M,49,2.00,-,-,26.97,0.40,-,0.00,-1.55,14.00%,-35.70%,-31.00%,-,25.60M,0.33
NILE,4.19,1.25,DOWN,57641764,Industrials,-123.00M,27.20M,323,2.00,-,-,2.05,0.14,-,0.24,-1.48,7.60%,-46.40%,-7.00%,-,340.07M,4.34
NNVC,3.18,3.99,UP,19822320,Health Care,-8.10M,-,17,2.00,-,-,-,0.81,-,0.00,-0.70,9.60%,-31.60%,-,-,11.56M,0.96
NTIP,3.8,2.82,DOWN,58470525,Technology,2.80M,17.30M,3,-,20.27,-,3.09,0.96,44.55,0.00,0.11,22.80%,4.70%,25.10%,16.00%,23.85M,0.31
OGEN,0.52,0.43,DOWN,25071441,Health Care,-16.70M,0.10M,5,2.00,-,-,233.29,1.64,-,0.00,-0.14,9.30%,-81.90%,-,-,116.39M,0.23
OPTT,2.7,1.57,DOWN,41941410,Industrials,-21.60M,2.20M,54,-,-,-,18.11,0.65,-,0.00,-0.41,10.70%,-31.10%,-27.70%,-,55.89M,1.75
PHGE,6.31,1.59,DOWN,10943533,Health Care,-36.10M,-,103,-,-,-,-,0.35,-,0.45,-1.26,20.70%,-83.20%,-,-,29.77M,1.00
PRK,104.99,137.12,UP,2389307718,Finance,145.20M,342.20M,1685,3.00,16.54,4.04,6.97,2.27,45.50,0.18,8.87,52.40%,13.50%,23.70%,42.40%,16.25M,0.78
PTN,17.05,13.68,DOWN,53327361,Health Care,-36.20M,1.50M,33,1.30,-,-,33.20,38.15,-,0.23,-3.79,7.90%,-134.70%,-,-,9.56M,0.83
PW,28.5,67.51,UP,30608639,Real Estate,3.80M,8.60M,2,2.00,7.73,-,3.37,0.56,-,0.66,1.12,39.10%,7.40%,7.00%,44.10%,3.37M,0.97
PZG,1.2,0.7,DOWN,15018361,Basic Materials,-7.80M,0.30M,7,2.00,-,-,46.41,0.31,-,0.09,-0.19,7.80%,-16.80%,-14.70%,-,46.58M,1.61
REI,0.67,2.27,UP,425683709,Energy,87.30M,262.20M,53,2.30,5.11,0.14,1.61,0.95,4.00,0.76,0.62,46.10%,28.10%,16.20%,33.30%,106.39M,2.04
REPX,14.52,18.75,UP,579742241,Energy,67.70M,261.50M,54,2.00,8.73,-,2.23,2.28,5.89,0.00,3.45,52.20%,29.00%,16.60%,26.20%,19.54M,1.27
RHE,3.09,4.62,UP,4678441,Health Care,-14.00M,27.90M,12,-,-,-,0.14,-,-,-,-7.88,2.30%,26.00%,-,-50.00%,1.77M,1.10
RLGT,5.62,7.21,UP,303662155,Consumer Discretionary,39.40M,1.34B,685,2.00,7.75,0.32,0.22,1.61,-,0.63,0.77,57.20%,23.20%,13.60%,2.90%,49.44M,0.99
