,Symbol,Start,End,Label,Market.Cap,Sector,Income,Sales,Employees,price.to.earnings,Price.Earnings.to.Growth,Price.to.Sales.Ratio,Price.to.Book,Price.to.free.cash.flow,debt.to.equity,EPS..ttm.,Inst.Own,ROE,ROI,Profit.Margin,Shs.Outstand,Beta
1265,SCX,4.33,9.66,UP,62534956,Consumer Discretionary,14900000,253700000,1493,3.55,0,0.21,0.51,0,0.31,2.01,0.423,0.162,0.111,0.059,7280000,0.57
1266,SD,3.43,10.35,UP,701401420,Energy,148700000,228300000,101,5.42,1.08,3.42,2.42,5,0,4,0.726,0.56,0.465,0.651,36700000,2.37
1267,SE,196.06,224.31,UP,27744237844,Technology,-2703500000,11750000000,67300,0,0,1.9,5.01,0,0.78,-4.72,0.745,-0.403,-0.175,-0.23,555930000,1.5
1268,SEAS,30.31,64.71,UP,3963063257,Consumer Discretionary,281300000,1670000000,2800,15.59,0.86,2.3,0,10.35,0,3.69,0,-1.952,0.179,0.169,71690000,2.05
1269,SEE,45,67.14,UP,6950570250,Industrials,540800000,5770000000,16500,12.34,1.42,1.2,32.57,21.63,18.36,3.62,0.923,2.849,0.164,0.095,146000000,1.21
1270,SEM,27.83,29.82,UP,3229747324,Health Care,223300000,6280000000,35900,12.88,1.3,0.44,2.62,0,3.55,1.75,0.855,0.2,0.124,0.036,124900000,1.38
1271,SF,48.96,70.64,UP,6592854625,Finance,709600000,4670000000,8600,10.62,0.75,1.43,1.57,14.72,6.38,6.01,0.862,0.183,0.028,0.169,109080000,1.29
1272,SFBS,40.12,85.47,UP,4109611130,Finance,237500000,498000000,502,17.01,0,8.13,3.24,17.5,0.05,4.35,0.656,0.199,0.253,0.477,54320000,0.93
1273,SFL,6.47,8.04,UP,1415995175,Consumer Discretionary,217800000,593200000,18,6.94,0,2.21,1.27,8.02,2.35,1.5,0.393,0.22,0.072,0.367,126790000,0.84
1274,SGU,9.36,10.57,UP,323389074,Utilities,53200000,1950000000,3121,5.92,0,0.16,0.98,0,0.7,1.45,0.372,0.272,0.242,0.043,36780000,0.67
1275,SHAK,82.43,73.07,DOWN,2184074075,Consumer Discretionary,-23300000,831300000,9695,0,0,2.3,4.3,0,0.61,-0.59,0.907,-0.057,-0.013,-0.028,39230000,1.58
1276,SHEL,36.03,43.4,UP,1.99E+11,Energy,43360000000,3.65E+11,82000,4.96,0.71,0.56,1.11,8.35,0.44,11.45,0.083,0.239,0.071,0.119,3640000000,0.69
1277,SHG,29.26,30.88,UP,12987331364,Finance,2920000000,11460000000,21530,4.79,0,1.17,0.42,3.06,2.54,5.47,0.027,0.087,0.052,0.251,530660000,0.8
1278,SHO,10.95,11.67,UP,2372635144,Real Estate,147000000,764900000,42,15.32,0.77,2.89,1.22,0,0.44,0.68,0,0.079,-0.035,0.192,213180000,1.3
1279,SHPW,10.31,3.73,DOWN,32244357,Industrials,-26700000,32000000,152,0,0,0.94,0.41,0,0,-0.62,0.47,-0.324,-0.07,-0.833,53070000,0
1280,SHW,241.16,350.36,UP,58470528952,Consumer Discretionary,1940000000,21680000000,61626,29.95,2.43,2.65,21.96,173.45,4.06,7.39,0.796,0.816,0.153,0.089,257700000,1.07
1281,SID,6.42,4.45,DOWN,3323120093,Industrials,667400000,8290000000,35179,5.25,1.34,0.4,0.84,0,1.79,0.49,0.032,0.115,0.291,0.057,1330000000,1.73
1282,SIG,27.65,86.34,UP,3012884487,Consumer Discretionary,434300000,7940000000,30856,9.76,1.39,0.37,2.2,5.98,0.11,6.64,0,0.304,0.461,0.055,46400000,2.19
