"dataset","Symbol","Start","End","Label","Market.Cap","Sector","Income","Sales","Employees","Analyst.Rating..1.buy.5.sell.","price.to.earnings","Price.Earnings.to.Growth","Price.to.Sales.Ratio","Price.to.Book","Price.to.free.cash.flow","debt.to.equity","EPS..ttm.","Inst.Own","ROE","ROI","Profit.Margin","Shs.Outstand","Beta"
"Nasdaq","AACG",1.18,1.04,"DOWN",60890954,"Consumer Discretionary",-9400000,27900000,584,1,0,0,2.04,2.73,0,0,-0.3,0.169,-0.394,-0.378,-0.338,31530000,1.66
"Nasdaq","AADI",1.05,24.87,"UP",271012062,"Health Care",-135200000,6700000,67,1.6,0,0,39.4,2.42,0,0,-11.45,0.722,-1.039,-0.779,0,20970000,1.25
"Nasdaq","AAL",15.13,18.07,"UP",9225343091,"Consumer Discretionary",-1.608e+09,4.521e+10,123400,3,0,0,0.2,0,10.85,0,-2.52,0.549,0.284,-0.016,-0.051,650590000,1.49
"Nasdaq","AAME",2.14,2.78,"UP",60991506,"Finance",2500000,195300000,138,0,26.35,0,0.32,0.57,5.95,0.32,0.12,0.055,0.019,0.032,0.013,20400000,0.29
"Nasdaq","AAOI",8.76,5.35,"DOWN",77235240,"Technology",-60900000,212200000,2534,2.5,0,0,0.28,0.26,0,0.65,-2.22,0.356,-0.249,-0.143,-0.287,27610000,1.39
"Nasdaq","AAON",64.71,79.17,"UP",3450790584,"Industrials",55800000,666400000,2881,2,63.4,5.28,5.21,7.12,0,0.23,1.04,0.721,0.121,0.115,0.084,53090000,0.76
"Nasdaq","AAPL",129.41,178.2,"UP",2652266273200,"Technology",9.98e+10,3.9433e+11,164000,1.9,22.68,2.55,5.68,43.79,23.19,2.37,6.1,0.601,1.609,0.583,0.253,1.603e+10,1.25
"Nasdaq","AATC",4.44,6.28,"UP",22999799,"Industrials",5e+05,1.2e+07,36,0,45.71,2.29,1.88,1.24,0,0.09,0.09,0.252,0.026,0.106,0.042,5380000,0.77
"Nasdaq","AAWW",55.39,93.25,"UP",2871419104,"Consumer Discretionary",4.66e+08,4.4e+09,4056,2.7,6.93,0.69,0.65,0.99,3.15,0.72,14.5,0,0.169,0.108,0.106,28240000,1.14
"Nasdaq","ABCL",39.1,14.34,"DOWN",3363210294,"Health Care",200400000,507300000,386,1.7,18.67,1.87,6.89,2.8,12.18,0,0.64,0.453,0.182,0.135,0.395,284690000,0
"Nasdaq","ABCM",20.47,23.67,"UP",3554142002,"Health Care",7800000,401900000,1750,2.2,430.59,1163.75,8.29,4.01,82.85,0.32,0.03,0.133,0.01,0.024,0.019,229050000,0
"Nasdaq","ABEO",42.25,7.99,"DOWN",26895132,"Health Care",-86600000,4300000,90,2.3,0,0,6.71,1.11,0,0,-18.58,0.108,-1.896,-1.714,0,8050000,1.26
"Nasdaq","ABIO",4.16,2.21,"DOWN",31189314,"Health Care",-16800000,0,17,0,0,0,0,0.66,0,0,-1.17,0.344,-0.335,0,0,14410000,1.8
"Nasdaq","ABMD",316.73,362.06,"UP",11379541178,"Health Care",217600000,1.06e+09,2003,2.9,78.93,4.3,10.74,11.09,45.45,0,4.74,0.953,0.093,0.058,0.129,45580000,1.28
"Nasdaq","ABNB",139.15,168.78,"UP",63790837789,"Consumer Discretionary",1.25e+09,7.38e+09,6132,2.5,52.39,1.14,8.16,11.69,21.71,0,1.83,0.656,0.26,0,0.169,638410000,0
"Nasdaq","ABUS",3.64,3.88,"UP",353883430,"Health Care",-76100000,33400000,85,2,0,0,11.07,2.48,0,0,-0.6,0.297,-0.665,0,0,148750000,2.2
"Nasdaq","ABVC",5.05,3.41,"DOWN",24470984,"Health Care",-17600000,4e+05,28,2,0,0,60.17,2.44,0,0.17,-0.65,0.048,0,-1.205,0,31310000,0.3
"Nasdaq","ACAD",52.81,23.54,"DOWN",2613767438,"Health Care",-204600000,512400000,540,2.7,0,0,4.68,5.45,0,0,-1.27,0.946,-0.412,-0.316,-0.399,161650000,0.6
"Nasdaq","ACB",9.52,5.5,"DOWN",438638652,"Health Care",-1717600000,221300000,1338,2.9,0,0,2.59,0.49,0,0.41,-7.64,0.2372,-1.199,-1.836,0,300440000,3
"Nasdaq","ACCD",41.45,26.27,"DOWN",783055035,"Technology",-417200000,3.36e+08,2350,2.2,0,0,1.97,1.21,0,0.53,-6.08,0.805,-0.169,-0.106,-0.366,69740000,0
"Nasdaq","ACER",2.54,2.36,"DOWN",20287610,"Health Care",-19500000,4e+05,35,2,0,0,54.44,0,0,0,-1.35,0.265,4.238,9.028,0,15270000,1.21
"Nasdaq","ACET",13.42,16.54,"UP",329109110,"Health Care",-47700000,33900000,86,1.5,0,0,21.82,2.44,0,0,-1.37,0.926,-0.17,-0.202,0,40080000,2.15
"Nasdaq","ACGL",34.9,44.33,"UP",21010728011,"Finance",1.2e+09,8.71e+09,5200,0,18.21,1.05,2.5,1.81,6.86,0.24,3.12,0.91,0.151,0.111,0.212,369240000,0.78
"Nasdaq","ACHC",50.49,60.13,"UP",7291807792,"Health Care",277300000,2.45e+09,15900,2.2,25.81,2.09,2.95,2.64,52.15,0.53,3.04,0,0.095,0.071,0.099,89720000,1.25
"Nasdaq","ACHV",7.9,7.74,"DOWN",21956511,"Health Care",-31900000,0,16,1.7,0,0,0,1.49,0,1.17,-3.35,0.275,-1.31,0,0,9650000,1.11
"Nasdaq","ACIU",5.32,5.02,"DOWN",228552985,"Health Care",-75600000,3930000,143,1.3,0,0,56.55,1.23,0,0.01,-0.94,0.18,-0.366,0,0,84460000,0.52
"Nasdaq","ACIW",37.88,34.87,"DOWN",2790736452,"Technology",152100000,1.45e+09,3610,1.7,15.9,1.32,1.6,1.95,14.13,0.9,1.29,0.988,0.125,0.07,0.105,114670000,1.14
"Nasdaq","ACLS",28.6,73.11,"UP",1926861029,"Technology",149100000,807200000,1122,2,14.79,0.74,2.63,3.67,17.13,0.08,4.4,0.864,0.271,0.18,0.185,33100000,1.56
"Nasdaq","ACMR",29.84,28.39,"DOWN",380204374,"Technology",32200000,308700000,877,2.7,30.32,0.71,1.26,0.6,0,0.04,0.22,0.715,0.059,0.054,0.104,59180000,0.53
"Nasdaq","ACNB",24.4,31.39,"UP",310695625,"Finance",3e+07,80800000,397,0,10.68,0,3.95,1.3,10.85,0,3.45,0.306,0.103,0.235,0.334,8710000,0.39
"Nasdaq","ACNT",8,15.9,"UP",149994372,"Industrials",37600000,414300000,638,0,3.96,0.32,0.37,1.14,11.25,0.53,3.75,0.487,0.326,0.119,0.091,10240000,0.59
"Nasdaq","ACOR",3.8,2.35,"DOWN",28580595,"Health Care",-118800000,1.22e+08,118,2,0,0,0.21,0.15,0,0,-8.8,0.274,-0.716,-0.224,-0.779,24340000,1.66
"Nasdaq","ACRS",6.48,14.33,"UP",1056413879,"Health Care",-83300000,6100000,75,1.4,0,0,161.64,4.25,0,0,-1.33,0.962,-0.401,-0.455,0,65990000,0.56
"Nasdaq","ACRX",25,9.81,"DOWN",18895324,"Health Care",45700000,2900000,43,2.5,0.34,0,5.25,0.43,0,0.3,5.76,0.118,-2.175,1.628,0,7360000,0.28
"Nasdaq","ACST",3.16,1.25,"DOWN",25873875,"Health Care",-15300000,0,32,1,0,0,0,0.18,0,0,-0.36,0.0026,-0.103,0,0,44330000,1.4
"Nasdaq","ACTG",3.8,5.21,"UP",159736650,"Miscellaneous",112300000,95100000,287,0,0,0,1.52,0.71,96.45,0.48,-1.2,0.622,0.368,-0.016,0,43990000,0.4
"Nasdaq","ADAP",6.01,3.87,"DOWN",231986077,"Health Care",-1.76e+08,11700000,494,2.7,0,0,21.88,1.82,0,0,-1.12,0.706,-0.936,-0.791,0,163370000,2.02
"Nasdaq","ADBE",485.34,570.53,"UP",147979994500,"Technology",4.81e+09,1.719e+10,25988,2.2,28.18,2.14,7.79,9.32,18.78,0.29,10.14,0.841,0.338,0.26,0.28,4.69e+08,1.25
"Nasdaq","ADEA",5.38,5.01,"DOWN",1166236786,"Technology",-37300000,925300000,2250,1.7,0,0,1.22,0.85,5.63,0.55,-0.36,0.945,-0.03,-0.009,-0.044,1.04e+08,1.72
"Nasdaq","ADES",5.37,6.47,"UP",55106237,"Industrials",26700000,110700000,139,2,1.94,0.04,0.49,0.36,6.39,0.04,1.44,0.384,0.185,-0.05,0.241,19130000,0.7
"Nasdaq","ADI",146.02,174.78,"UP",73401679889,"Technology",1.89e+09,1.111e+10,24700,2,39.96,2.72,6.59,2.04,33.01,0.17,3.61,0.883,0.051,0.034,0.17,517010000,1.11
"Nasdaq","ADIL",1.73,2.67,"UP",7967571,"Health Care",-16900000,0,16,2.3,0,0,0,0.93,0,0,-0.78,0.061,-2.302,0,0,24320000,0.55
"Nasdaq","ADMA",2.11,1.32,"DOWN",553727160,"Health Care",-73100000,110100000,527,1.7,0,0,4.68,4.43,0,1.22,-0.42,0.761,-0.603,-0.247,-0.664,196350000,1
"Nasdaq","ADMP",0.54,0.58,"UP",21147640,"Health Care",-31600000,7e+05,15,3,0,0,30.17,2.8,0,0,-0.2,0.087,0,-1.045,0,149820000,1.06
"Nasdaq","ADN",14.88,7.08,"DOWN",45883777,"Utilities",-35500000,8100000,200,1.5,0,0,13.26,0.9,0,0,-0.7,0.265,-0.277,-0.331,0,51630000,-0.16
"Nasdaq","ADP",168.96,245.56,"UP",100005072000,"Consumer Discretionary",3.03e+09,1.688e+10,60000,3,32.81,2.19,5.78,30.52,92.16,0.93,7.22,0.809,0.642,0.471,0.17,415800000,0.83
"Nasdaq","ADPT",55.83,28.33,"DOWN",1112980577,"Health Care",-232100000,159700000,858,2.2,0,0,7.36,2.44,0,0,-1.64,0.871,-0.399,-0.346,0,142360000,1.05
"Nasdaq","ADSK",296.84,281.71,"DOWN",46245642444,"Technology",557800000,4.74e+09,12600,2.1,76.35,3.27,8.82,56.8,25.5,3.55,2.54,0.93,0.629,0.158,0.118,2.17e+08,1.49
"Nasdaq","ADTN",14.73,22.92,"UP",1745436898,"Telecommunications",-13600000,618800000,1335,2.1,0,0,2.54,2.89,0,0,-0.28,0.778,-0.038,-0.048,-0.022,77420000,1.4
"Nasdaq","ADTX",105,27.92,"DOWN",11055704,"Health Care",-45700000,5e+05,58,3,0,0,5.04,1.38,0,0.64,-80.66,0.353,-6.255,-4.04,0,4160000,0
"Nasdaq","ADUS",116.26,93.37,"DOWN",1631993402,"Health Care",44400000,904900000,5416,1.2,39.6,2.64,1.83,2.89,28.04,0,2.76,0,0.077,0.064,0.049,15850000,0.77
"Nasdaq","ADV",13.33,7.7,"DOWN",1079726289,"Consumer Discretionary",70800000,3.86e+09,20000,3,15.14,1.05,0.27,0.42,17.43,0.83,0.22,0.294,0.028,0.043,0.018,318420000,0
"Nasdaq","ADVM",11.98,1.79,"DOWN",86420213,"Health Care",-154400000,0,188,2.5,0,0,0,0.32,0,0,-1.57,0.698,-0.519,-0.462,0,9.9e+07,1.08
"Nasdaq","ADXN",14.11,6.31,"DOWN",6986241,"Health Care",0,1590000,26,0,0,0,8.81,0.69,0,0,-3.26,0.1592,0,0,0,8210000,0
"Nasdaq","AEHL",2.43,1.62,"DOWN",3305655,"Consumer Discretionary",-6500000,41200000,236,0,0,0,0.09,1.17,18.74,1.48,-1.08,0.068,-0.793,-0.92,-0.157,6010000,0.91
"Nasdaq","AEHR",2.42,23.38,"UP",568466485,"Industrials",9300000,55900000,91,1.5,59.75,2.99,10.25,10.31,121.85,0,0.33,0.329,0.199,0.184,0.167,27240000,1.65
"Nasdaq","AEI",5.89,0.61,"DOWN",29998452,"Real Estate",-45900000,10500000,32,2.5,0,0,2.81,0.15,0,0,-0.77,0.03,-0.299,-0.104,0,122890000,0
"Nasdaq","AEIS",97.99,92.28,"DOWN",2944260977,"Consumer Discretionary",142500000,1.58e+09,10000,2.3,22.06,2.21,1.93,3.14,36.65,0.38,3.76,0,0.214,0.111,0.125,37380000,1.53
"Nasdaq","AEMD",2.52,1.93,"DOWN",11364513,"Miscellaneous",-11200000,2e+05,14,2,0,0,55.79,0.53,0,0,-0.73,0.043,-0.591,-0.609,0,22900000,0.9
"Nasdaq","AEP",81.54,88.69,"UP",44942517278,"Utilities",2.46e+09,1.882e+10,16688,2.2,18.58,2.98,2.43,1.89,11.85,1.55,4.82,0.757,0.104,0.056,0.131,513730000,0.41
"Nasdaq","AESE",1.46,1.74,"UP",47293419,"Telecommunications",-14200000,7200000,88,3,0,0,6.45,0.53,0,0,-0.36,0.209,0.634,0,0,39120000,1.07
"Nasdaq","AEY",2.85,1.72,"DOWN",27805007,"Consumer Discretionary",-1900000,9e+07,169,0,0,0,0.3,2.72,9.37,0.21,-0.15,0.033,-0.204,-0.437,-0.021,13190000,0.55
"Nasdaq","AEYE",24.87,6.74,"DOWN",63420679,"Technology",-15900000,27200000,111,2,0,0,2.17,4.78,0,0.15,-1.39,0.187,-0.96,-0.802,-0.585,11490000,1.28
"Nasdaq","AEZS",12.87,9.19,"DOWN",19928030,"Health Care",-11700000,5400000,17,0,0,0,3.59,0.36,0,0,-1.79,0.214,-0.213,-0.161,0,4860000,1.34
"Nasdaq","AFBI",9.71,15.26,"UP",96853699,"Finance",6800000,31500000,90,0,14.74,0,3.08,0.83,15.9,0,0.99,0.15,0.061,0.214,0.23,6590000,0.45
"Nasdaq","AFIB",30.15,3.58,"DOWN",20994056,"Health Care",-94100000,16700000,338,2.7,0,0,1.55,0.34,0,0.47,-3.28,0.455,-0.978,-0.757,0,28340000,0
"Nasdaq","AFMD",6.06,5.69,"DOWN",262837230,"Health Care",-75400000,33900000,187,1.9,0,0,8.21,1.51,0,0.1,-0.59,0.685,-0.526,-0.414,0,147330000,2.17
"Nasdaq","AFYA",24.51,15.96,"DOWN",1320268495,"Real Estate",63500000,408800000,8079,2.1,22.59,3.6,3.61,2.41,12.55,0.72,0.69,0.56,0.11,0.08,0.155,90480000,0
"Nasdaq","AGEN",3.23,3.37,"UP",713570513,"Health Care",18100000,320100000,441,1.5,21.59,0,2.16,244,0,4.03,0.11,0.532,0.757,0,0.056,277030000,1.3
"Nasdaq","AGIL",10.15,4.97,"DOWN",216870161,"Technology",-26500000,172900000,2630,1.7,0,0,1.15,2.19,0,0.86,-0.64,0.52,-0.305,-0.008,-0.153,46040000,0
"Nasdaq","AGIO",44.3,33.57,"DOWN",1511881791,"Health Care",-369400000,6400000,390,2.4,0,0,215.33,1.26,0,0,-6.71,0,-0.295,0,0,54800000,0.99
"Nasdaq","AGLE",8.56,4.55,"DOWN",61784235,"Health Care",-87500000,7e+06,92,2.2,0,0,9,1.09,0,0,-1.26,0.865,-1.055,-0.78,0,82210000,1.91
"Nasdaq","AGMH",15.77,2.5,"DOWN",47670241,"Technology",3600000,36700000,22,0,10.06,0,1.02,1.42,0,0.06,0.16,0.035,0.404,0.133,0.097,21900000,1.27
"Nasdaq","AGNC",15.39,15.21,"DOWN",4501364500,"Real Estate",-1.879e+09,-1.698e+09,50,2.3,0,0,0,0.67,7.32,6.6,-3.57,0.432,-0.122,0.013,0,551300000,1.14
"Nasdaq","AGRX",111.6,19.62,"DOWN",11273751,"Health Care",-64100000,6700000,30,2,0,0,8.08,0.35,0,3.71,-21.55,0.006,0,0,0,202460000,1.23
"Nasdaq","AGTC",4.34,1.98,"DOWN",27776542,"Health Care",-68900000,3e+05,102,3,0,0,94.83,0.73,0,0.62,-1.54,0.184,-1.396,-1.382,0,67630000,1.58
"Nasdaq","AGYS",37.12,44.28,"UP",1611492713,"Technology",8300000,181300000,1400,2.3,192.13,3842.59,8.82,14.41,85.55,0,0.32,0.998,0.084,0.065,0.046,24650000,1.01
"Nasdaq","AHCO",35.8,23.49,"DOWN",3039755845,"Health Care",125300000,2.79e+09,10700,1.4,24.33,1.75,1.06,1.39,149.84,1.03,0.91,0.772,0.06,0.04,0.045,134330000,0.57
"Nasdaq","AHG",2.25,1.85,"DOWN",32880133,"Finance",-2.3e+07,6e+05,113,0,0,0,17.75,0.39,0,0.51,-1.39,0.024,-0.72,-1.15,0,16890000,1.03
"Nasdaq","AHPI",5.17,6,"UP",5097192,"Health Care",-5400000,2.7e+07,146,0,0,0,0.18,0.95,0,2.04,-1.34,0.064,-0.704,-0.328,-0.198,4010000,-2.61
"Nasdaq","AIHS",10.7,3.82,"DOWN",38940554,"Finance",-3800000,6900000,151,0,0,0,0.97,0.71,0,0.05,-0.58,0.006,0,-1.345,0,7680000,0.52
"Nasdaq","AIKI",14.71,10.16,"DOWN",33459086,"Health Care",-14600000,0,4,2,0,0,0,0.33,0,0,-2.77,0.085,-0.151,0,0,5250000,1.06
"Nasdaq","AIMC",54.93,51.39,"DOWN",3915817670,"Industrials",1.7e+07,1.95e+09,9600,2.4,229.48,15.3,1.93,1.92,43.02,0.56,0.25,0,0.017,0.035,0.017,65100000,2.3
"Nasdaq","AIMD",3,13.2,"UP",22205228,"Health Care",-6700000,1100000,34,0,0,0,20.76,1.74,0,5.3,-0.64,0,-0.643,-0.28,0,9620000,1.11
"Nasdaq","AIRG",17.09,10.86,"DOWN",74374949,"Technology",-11900000,66400000,145,2.4,0,0,1.16,1.79,0,0,-1.17,0.554,-0.268,-0.228,-0.179,10220000,0.95
"Nasdaq","AIRT",25.05,25.34,"UP",64494405,"Consumer Discretionary",9200000,1.91e+08,500,0,6.61,0,0.32,2.49,0,5.82,3.18,0.262,0.406,0.099,0.048,2870000,1.24
"Nasdaq","AKAM",105.24,117.15,"UP",13997766013,"Consumer Discretionary",578200000,3.57e+09,8700,2.5,23.92,1.99,3.75,3.14,12.4,0.55,3.52,0.961,0.131,0.111,0.162,160040000,0.71
"Nasdaq","AKBA",2.93,2.29,"DOWN",47157180,"Health Care",-163400000,296800000,426,3,0,0,0.16,0.82,0,1.58,-0.94,0.333,-2.164,-1.525,-0.55,183600000,1.33
"Nasdaq","AKRO",24.82,21.42,"DOWN",1974139677,"Health Care",-110200000,0,37,1.8,0,0,0,9.18,0,0.06,-3.15,0.841,-0.665,0,0,46420000,-0.91
"Nasdaq","AKTS",11.87,6.82,"DOWN",191152769,"Utilities",-5.9e+07,15400000,205,1.7,0,0,11.56,1.74,0,0,-1.09,0.521,-0.533,-0.399,0,56550000,1.56
"Nasdaq","AKTX",1.81,1.38,"DOWN",27229400,"Health Care",-16800000,0,9,2,0,0,0,1.88,0,0,-0.36,0.024,-2.067,0,0,74450000,1.26
"Nasdaq","AKUS",19.43,8.37,"DOWN",484324005,"Health Care",-95700000,0,103,2.4,0,0,0,2.43,0,0,-2.75,0.957,-0.427,0,0,36930000,0
"Nasdaq","ALBO",36.98,23.63,"DOWN",405390561,"Health Care",-36300000,51200000,130,1.3,0,0,7.51,3.72,0,0.09,-1.89,0.985,-0.234,0,-0.708,19590000,0.79
"Nasdaq","ALDX",6.53,4.06,"DOWN",326026218,"Health Care",-66100000,0,12,1.4,0,0,0,1.79,0,0.09,-1.14,0.682,-0.335,0,0,58300000,1.28
"Nasdaq","ALEC",14.98,20.92,"UP",764541908,"Health Care",38100000,300700000,269,2,17.25,0,2.25,2.37,1.44,0,0.48,0.805,0.122,-0.124,0.121,82390000,0.98
"Nasdaq","ALGM",25.52,36.07,"UP",4878357596,"Technology",119400000,842300000,4036,1.7,42.17,3.25,5.84,6.55,57.11,0,0.62,0.471,0.168,0.152,0.142,190640000,0
"Nasdaq","ALGN",526.46,662.22,"UP",15121744616,"Health Care",510800000,3.86e+09,22540,2.2,28.01,0.65,3.68,3.94,26.79,0,6.46,0.92,0.196,0.215,0.183,78390000,1.68
"Nasdaq","ALGS",26.95,11.97,"DOWN",44949806,"Health Care",-126400000,8200000,89,3,0,0,5.16,0.31,0,0,-2.98,0.751,-0.731,-0.694,0,42670000,0
"Nasdaq","ALGT",174.74,188.99,"UP",1362599177,"Consumer Discretionary",45700000,2.09e+09,5226,2.2,28.8,0,0.64,1.08,38.48,1.59,2.57,0.894,0.038,0.074,0.022,17990000,1.53
"Nasdaq","ALIM",4.27,5.15,"UP",37775489,"Health Care",-17400000,52600000,145,2,0,0,0.71,0,0,0,-2.49,0.295,0.702,0.053,-0.33,7e+06,1.37
"Nasdaq","ALKS",19.74,23.35,"UP",3724465686,"Health Care",-94200000,1.17e+09,2211,2.4,0,0,3.28,3.63,37.7,0.27,-0.58,0.998,-0.086,-0.029,-0.08,163840000,0.6
"Nasdaq","ALLK",133.77,10.07,"DOWN",499883872,"Health Care",-403200000,0,192,3,0,0,0,1.47,0,0,-7.39,0.805,-1.11,0,0,84730000,0.4
"Nasdaq","ALLO",25.79,15.38,"DOWN",1492714844,"Health Care",-307700000,2e+05,344,1.9,0,0,6544.07,1.67,0,0,-2.19,0.726,-0.347,-0.279,0,143380000,0.59
"Nasdaq","ALLT",10.38,11.95,"UP",141149833,"Telecommunications",-19500000,143800000,749,0,0,0,1.06,1.35,0,0.35,-0.53,0.746,-0.159,-0.122,-0.135,36830000,0.96
"Nasdaq","ALNY",128.1,171.03,"UP",25599407360,"Health Care",-1182100000,960900000,1665,2.1,0,0,25.94,0,0,0,-9.77,0.981,-4.307,-0.561,0,123030000,0.54
"Nasdaq","ALOT",10.92,13.6,"UP",87389686,"Technology",-2e+05,121800000,339,3,0,0,0.74,1.11,0,0.17,-0.03,0.465,-0.002,0.09,-0.001,7310000,0.68
"Nasdaq","ALPN",13.45,13.88,"UP",254798671,"Health Care",-54300000,3.2e+07,85,1.5,0,0,8.06,1.84,57.33,0.06,-1.91,0.792,-0.473,-0.386,0,43940000,1.39
"Nasdaq","ALPP",2.78,1.84,"DOWN",144763906,"Industrials",-12300000,8e+07,480,2,0,0,1.79,2.13,0,0.52,-0.07,0.071,-0.189,-0.144,-0.154,183200000,8.79
"Nasdaq","ALR",6.91,2.9,"DOWN",29381083,"Health Care",-39500000,751100000,6800,3,0,0,0.04,0.17,0,0.44,-1.25,0.243,-0.223,-0.136,-0.053,31810000,0.88
"Nasdaq","ALRM",100.45,84.37,"DOWN",2916740289,"Technology",42600000,805900000,1500,2.1,69.62,8.6,3.44,4.95,69.11,0.87,0.8,0.935,0.073,0.064,0.053,49930000,1.06
"Nasdaq","ALRN",1.05,0.54,"DOWN",17801425,"Health Care",-29900000,0,9,2.5,0,0,0,0.8,0,0,-0.33,0.355,-0.901,0,0,90970000,1.97
"Nasdaq","ALRS",26.54,29.11,"UP",444916719,"Finance",4.7e+07,92400000,779,2.7,8.08,0,4.76,1.22,3.77,0.19,2.69,0.361,0.139,0.177,0.508,19990000,0.7
"Nasdaq","ALT",12.71,8.93,"DOWN",616002279,"Health Care",-96900000,3500000,47,1.7,0,0,163.57,2.84,0,0,-2.24,0.825,-0.492,-0.487,0,49020000,0.43
"Nasdaq","ALTO",5.7,4.83,"DOWN",308223975,"Industrials",50400000,1.36e+09,415,1.7,5.98,0.3,0.22,0.83,14.22,0,0.69,0.544,0.149,0.123,0.037,72940000,2.46
"Nasdaq","ALTR",57.7,75.47,"UP",3925360679,"Technology",-31800000,554500000,2800,2.1,0,0,6.77,6.58,197.64,0.55,-0.42,0.997,-0.053,0.005,-0.057,78950000,1.5
"Nasdaq","ALVO",10.53,9.87,"DOWN",1544113426,"Health Care",-1.2e+07,77600000,805,2.8,0,0,20.18,0,0,0,-2.89,0.081,0,-0.093,0,248650000,0
"Nasdaq","ALVR",39.65,13.52,"DOWN",432418674,"Health Care",-1.92e+08,0,107,1.7,0,0,0,3.15,0,0,-3.02,0.341,-0.911,0,0,64470000,0
"Nasdaq","ALXO",80.82,21.93,"DOWN",495891781,"Health Care",-110500000,0,52,2,0,0,0,1.63,0,0,-2.72,0,-0.314,0,0,40690000,0
"Nasdaq","AMAL",13.56,16.64,"UP",709143645,"Finance",72600000,228800000,375,2,10.27,0,2.98,1.48,50.58,0.17,2.33,0.525,0.102,0.242,0.24,30820000,0.75
"Nasdaq","AMAT",86.87,157.98,"UP",75819065395,"Technology",6.65e+09,2.516e+10,27000,2.1,12.72,1.03,3.2,6.8,19.83,0.45,7.47,0.797,0.556,0.339,0.264,8.64e+08,1.49
"Nasdaq","AMBA",91.34,201.19,"UP",2109464511,"Technology",-42900000,353600000,899,2.1,0,0,5.88,3.63,43.44,0,-1.13,0.798,-0.077,-0.05,-0.121,38260000,1.48
"Nasdaq","AMCX",35.6,35.68,"UP",962455413,"Consumer Discretionary",315300000,3.06e+09,1739,3.3,2.57,0,0.25,0.83,0,2.95,7.23,0.916,0.352,0.1,0.103,43190000,1.16
"Nasdaq","AMD",92.3,145.15,"UP",97714478978,"Technology",3.13e+09,2.158e+10,15500,2,26.53,1.04,4.75,1.85,30.95,0.05,2.38,0.684,0.108,0.401,0.157,1.62e+09,1.95
"Nasdaq","AMED",289.42,164.13,"DOWN",3161795352,"Health Care",120900000,2.22e+09,21000,2.4,22.91,4.06,1.27,2.71,30.65,0.45,3.69,0.977,0.124,0.155,0.054,32480000,0.99
"Nasdaq","AMEH",19.25,72.87,"UP",1603116116,"Health Care",73700000,955200000,1133,2,22.49,2.1,2.14,3.37,108.28,0.42,1.6,0.331,0.16,0.117,0.077,44860000,0.75
"Nasdaq","AMGN",226.66,226.47,"DOWN",144126418916,"Health Care",6.58e+09,2.638e+10,24200,2.7,23.47,3.06,5.58,61.29,34.66,15.1,11.8,0.799,1.441,0.171,0.249,5.35e+08,0.64
"Nasdaq","AMKR",14.91,24.6,"UP",5084062960,"Technology",8.18e+08,6.91e+09,30400,2.2,6.51,0.87,0.78,1.66,22.48,0.36,3.33,0.397,0.232,0.169,0.1,244590000,1.56
"Nasdaq","AMNB",26.11,38.01,"UP",392099400,"Finance",37700000,93200000,327,2,10.72,2.68,4.25,1.23,9.77,0.09,3.52,0.415,0.121,0.213,0.442,10690000,0.98
"Nasdaq","AMOT",32.91,35.27,"UP",542142396,"Industrials",14600000,437800000,1950,2,33.78,1.13,1.21,2.49,0,1.14,0.97,0.604,0.078,0.078,0.033,15360000,1.53
"Nasdaq","AMPG",4.62,3.91,"DOWN",22725887,"Technology",-3800000,13500000,34,2,0,0,1.73,0.77,0,0.03,-0.4,0.075,-0.128,-0.166,-0.28,9590000,1.18
"Nasdaq","AMPH",20.14,23.14,"UP",1521676015,"Health Care",90900000,476900000,1761,2.3,16.93,0.68,3.06,2.95,20.71,0.15,1.78,0.626,0.196,0.12,0.191,48860000,0.74
"Nasdaq","AMRK",13.34,30.36,"UP",703601120,"Finance",132500000,8.16e+09,384,2,5.03,0,0.08,1.29,0,1.33,5.44,0.524,0.311,0.117,0.016,23080000,-0.2
"Nasdaq","AMRN",5.03,3.35,"DOWN",501990865,"Health Care",-9.2e+07,423400000,560,3,0,0,1.19,0.9,0,0,-0.23,0.353,-0.149,0.01,-0.217,404610000,1.82
"Nasdaq","AMRS",7.02,5.44,"DOWN",925849883,"Industrials",-212700000,235600000,980,0,0,0,3.39,0,0,0,-0.68,0.459,3.099,-0.304,-0.903,319920000,1.22
"Nasdaq","AMSC",23.36,10.97,"DOWN",127976433,"Industrials",-22500000,105700000,326,1.7,0,0,0.98,1.03,0,0,-0.82,0.5,-0.174,-0.176,-0.182,27560000,1.4
"Nasdaq","AMSF",57.39,53.72,"DOWN",1128884189,"Finance",38400000,293400000,371,2.7,28.57,2.86,3.7,2.91,0,0,1.98,0.988,0.099,0.165,0.131,19200000,0.34
"Nasdaq","AMST",4.51,1.03,"DOWN",7426605,"Technology",-9100000,7e+05,14,2,0,0,11.26,0.89,0,0,-0.39,0.028,-0.944,-1.118,0,27600000,0
"Nasdaq","AMSWA",17.1,26.09,"UP",577897548,"Technology",1.2e+07,129600000,406,1.5,47.01,2.94,4.43,4.17,75.53,0,0.35,0.764,0.091,0.091,0.092,33660000,0.88
"Nasdaq","AMTB",15.06,33.9,"UP",1013872935,"Finance",1.1e+08,290300000,763,2,9.77,0,3.44,1.44,0,0.22,3.07,0.39,0.147,0.196,0.379,33480000,1.26
