"dataset","Symbol","Start","End","Label","Market.Cap","Sector","Income","Sales","Employees","Analyst.Rating..1.buy.5.sell.","price.to.earnings","Price.Earnings.to.Growth","Price.to.Sales.Ratio","Price.to.Book","Price.to.free.cash.flow","debt.to.equity","EPS..ttm.","Inst.Own","ROE","ROI","Profit.Margin","Shs.Outstand","Beta"
"nyse","NETI",17.08,7.46,"DOWN",315260431,"Consumer Discretionary",22200000,130300000,26,1.2,41.5,0,2.61,0.51,0,0.1,0.21,0.286,0.037,0.034,0.171,38830000,1.12
"nyse","NEU",402.63,347.34,"DOWN",3000819046,"Industrials",205600000,2.66e+09,2104,3,14.96,1.94,1.14,4.52,0,1.51,20.26,0.606,0.283,0.104,0.077,9960000,0.32
"nyse","NEWR",63,110.7,"UP",4008602116,"Technology",-222200000,821500000,2217,2.4,0,0,4.18,10.91,107.27,1.61,-3.4,0.874,-0.678,-0.279,-0.271,66420000,0.92
"nyse","NEX",3.59,3.59,"DOWN",2466347353,"Energy",192800000,2.88e+09,3340,2.1,13.64,0,0.9,3.37,28.82,0.52,0.77,0.857,0.306,-0.1,0.067,244690000,2.1
"nyse","NEXA",9.8,7.66,"DOWN",664841827,"Basic Materials",132200000,2.93e+09,5840,2.5,4.62,0,0.22,0.41,0,1.1,1,0.242,0.088,0.095,0.045,132440000,1.54
"nyse","NFG",41.25,63.77,"UP",6185597721,"Energy",494800000,2.11e+09,2188,2.5,11.94,0.88,2.79,2.93,0,1.51,5.38,0.772,0.255,0.111,0.235,91460000,0.75
"nyse","NGG",59.72,72.96,"UP",39888500293,"Utilities",2.5e+09,2.094e+10,30756,2,16.04,2.14,1.93,1.47,146.26,1.91,3.44,0.038,0.114,0.045,0.129,725800000,0.58
"nyse","NGL",2.42,1.87,"DOWN",179837655,"Energy",-133400000,8.96e+09,842,3.3,0,0,0.02,0.45,2.36,7.98,-1.03,0.273,-0.313,0.021,-0.015,130700000,1.99
"nyse","NGS",9.4,10.3,"UP",143164617,"Industrials",-6600000,76500000,247,2,0,0,1.84,0.6,0,0,-0.52,0.828,-0.028,-0.042,-0.086,12300000,1.43
"nyse","NGVC",14.07,14.29,"UP",259355633,"Consumer Staples",26400000,1.09e+09,3218,1,10.16,1.99,0.24,1.72,14.9,0.44,1.16,0.36,0.176,0.109,0.024,22680000,1.17
"nyse","NGVT",72.38,72.27,"DOWN",2564871833,"Industrials",145700000,1.52e+09,1850,2,19.72,3.18,1.83,4.33,16.21,1.8,3.73,0.939,0.219,0.061,0.096,38520000,1.77
"nyse","NHI",66.59,57.28,"DOWN",2537752515,"Real Estate",67400000,274700000,19,3,37.65,3.77,9.2,1.82,0,0.79,1.47,0.667,0.046,0.029,0.245,45710000,0.89
"nyse","NI",22.58,27.55,"UP",10357890769,"Utilities",667800000,5.42e+09,7272,2,15.86,2.17,1.81,1.74,123.3,1.78,1.54,0.99,0.124,0.058,0.123,406400000,0.44
"nyse","NIC",67.47,84.61,"UP",1122499571,"Finance",8.3e+07,245800000,850,2,13.17,1.88,4.75,1.26,17.38,0.23,5.97,0.392,0.081,0.127,0.271,13400000,0.74
"nyse","NINE",2.74,1.1,"DOWN",195138175,"Energy",-39700000,457200000,944,2.5,0,0,0.52,0,0,0,-1.3,0.471,1.019,-0.109,-0.087,30830000,3.51
"nyse","NIO",53.49,32.42,"DOWN",16262644937,"Finance",-1315900000,5.47e+09,15204,1.8,0,0,3.34,4.07,0,0.63,-0.82,0.372,-0.307,-0.088,-0.241,1.63e+09,1.73
"nyse","NJR",34.48,40.97,"UP",4292747943,"Utilities",219300000,2.67e+09,1251,2.5,19.08,3.18,1.55,2.36,200.58,1.65,2.27,0.774,0.127,0.06,0.082,96150000,0.64
"nyse","NKE",140.1,167.49,"UP",145381790238,"Consumer Discretionary",5.64e+09,4.715e+10,79100,2.2,26.54,4.08,3.06,9.25,84.3,0.6,3.52,0.831,0.371,0.246,0.12,1.57e+09,1.12
"nyse","NL",4.52,7.35,"UP",426161358,"Consumer Discretionary",7.4e+07,152400000,570,4,5.04,0,2.48,0.94,1890.52,0,1.52,0.117,0.2,0.008,0.486,48810000,0.98
"nyse","NLS",18.61,6.54,"DOWN",54369424,"Consumer Discretionary",-96400000,459800000,517,2.2,0,0,0.1,0.46,0,0.36,-3.08,0.391,-0.601,-0.099,-0.21,31410000,1.59
"nyse","NLY",32.92,31.8,"DOWN",8630618395,"Real Estate",2.92e+09,3.97e+09,171,2.5,2.32,0,2.21,0.75,0,6.28,8.03,0.429,0.237,0.033,0.644,4.68e+08,1.35
"nyse","NM",2.21,3.56,"UP",43975633,"Consumer Discretionary",1.14e+08,612300000,409,1,0.33,0.02,0.08,0.89,0.26,25.37,6.01,0.116,9.875,0.118,0.186,22660000,1.8
"nyse","NMM",10.84,24.39,"UP",755534136,"Consumer Discretionary",477800000,1.01e+09,186,2,1.65,0.05,0.79,0.43,2.67,0.66,16.44,0.108,0.27,0.141,0.472,30770000,2.09
"nyse","NMR",5.22,4.33,"DOWN",9800026647,"Finance",646900000,1.075e+10,26585,0,16.15,1.48,0.99,0.49,0,9.61,0.2,0.01,0.033,0.005,0.06,3.02e+09,0.72
"nyse","NNI",69.34,97.12,"UP",3335977146,"Finance",449400000,1.66e+09,7988,3,7.58,0,2,1.09,4.5,5.39,11.82,0.509,0.15,0.018,0.27,37710000,0.74
"nyse","NNN",39.35,48.06,"UP",7438692282,"Real Estate",298800000,748700000,72,2.4,25.23,3.12,10.14,1.93,0,0.97,1.71,0.937,0.076,0,0.399,178730000,0.85
"nyse","NOA",10.04,14.47,"UP",329467638,"Consumer Staples",41500000,526400000,200,2.3,9.61,0.87,0.68,1.66,11.98,1.52,1.33,0.716,0.201,0.07,0.079,26840000,1.49
"nyse","NOAH",46.85,30.56,"DOWN",798935819,"Finance",165500000,507100000,3148,1.7,6.07,0,1.86,0.82,5.26,0,2.45,0.448,0.145,0.11,0.326,67250000,1.05
"nyse","NOC",294.76,384.53,"UP",84330009394,"Technology",5.53e+09,3.521e+10,88000,2.2,15.2,5.07,2.39,5.93,0,0.92,35.18,0.847,0.411,0.143,0.157,154600000,0.64
"nyse","NOG",8.88,20.07,"UP",2717424182,"Energy",193600000,859200000,25,1.8,14.94,1.26,3.22,18.03,4.88,0,2.38,0.809,4.432,0.063,0.225,77370000,2.11
"nyse","NOK",3.89,6.26,"UP",24743294137,"Technology",1.71e+09,2.36e+10,87927,2.2,14.85,2.95,1.08,1.27,36.42,0.29,0.3,0.075,0.096,0.082,0.074,5.61e+09,0.88
"nyse","NOMD",25.4,25.34,"DOWN",2680161114,"Consumer Staples",238700000,2.86e+09,8002,1.8,11.45,1.6,0.94,1.17,0,0.92,1.37,0.894,0.102,0.058,0.083,172540000,0.73
"nyse","NOTE",9.99,9.9,"DOWN",656930593,"Technology",-175100000,99500000,800,1.7,0,0,7.07,0,0,0,-1.35,0.235,0,0.334,0,129740000,0
"nyse","NOV",13.89,13.51,"DOWN",8869464080,"Industrials",1.1e+07,6.68e+09,27043,2.4,997.5,24.33,1.4,1.92,0,0.4,0.02,0.994,0.002,-0.021,0.002,3.91e+08,1.88
"nyse","NOVA",45.04,27.48,"DOWN",2121236736,"Utilities",-146800000,427100000,736,2,0,0,4.8,1.66,0,4.01,-1.28,0,-0.118,-0.015,-0.344,114820000,0
"nyse","NOW",526.83,654.54,"UP",85441960000,"Technology",2.01e+08,6.92e+09,16881,1.8,367.24,14.1,10.66,16.22,38.84,0.33,0.99,0.901,0.049,0.045,0.029,202040000,0.99
"nyse","NPK",87.35,81.87,"DOWN",495469302,"Consumer Discretionary",1.7e+07,325500000,895,2,29.34,0,1.53,1.48,0,0,2.4,0.559,0.049,0.065,0.052,7080000,0.66
"nyse","NR",1.97,2.9,"UP",348268785,"Industrials",-19400000,701900000,1565,2,0,0,0.55,0.79,0,0.32,-0.21,0.718,-0.038,-0.03,-0.025,92660000,2.94
"nyse","NRDY",11.15,4.6,"DOWN",223314200,"Technology",-11900000,162400000,1000,2.1,0,0,2.31,3.38,0,0,-0.16,0.746,-0.255,-1.763,-0.073,86370000,0
"nyse","NREF",17.2,19.33,"UP",260198328,"Real Estate",43600000,121300000,1,2.2,7.61,0,2.23,0.71,4.97,19.56,2.38,0.723,0.142,0.01,0.36,14750000,0
"nyse","NRG",36.3,42.91,"UP",10435830162,"Utilities",3.44e+09,2.883e+10,6635,2.6,3.18,0.08,0.37,2.02,3.97,1.52,14.2,0,0.764,0.224,0.119,2.37e+08,0.87
"nyse","NRP",14.15,32.68,"UP",534381209,"Energy",181100000,329900000,52,3,3.84,0,1.73,1.63,3.27,0.85,11.9,0.384,0.638,0.215,0.549,12510000,0.47
"nyse","NRT",2.94,10.15,"UP",144179219,"Energy",11500000,12200000,2,0,14.15,0,12.81,593.33,52.09,0,1.26,0.182,0,39.759,0.943,9190000,1.11
"nyse","NSA",34.42,68.76,"UP",3892068306,"Real Estate",92700000,710500000,2125,2.2,37.07,3.37,4.85,2.25,14.38,2.06,1.01,0.889,0.062,0.048,0.13,91540000,0.71
"nyse","NSC",233.44,294.73,"UP",52928779376,"Industrials",3.24e+09,1.236e+10,18100,2.5,17.34,1.8,4.38,4.22,36.21,1.16,13.59,0.777,0.243,0.13,0.262,233200000,1.32
"nyse","NSP",79.02,117.43,"UP",4457768168,"Consumer Discretionary",140400000,5.51e+09,3600,2,31.47,2.1,0.77,71.85,28.21,6.11,3.63,0.918,4.72,0.351,0.027,38020000,1.32
"nyse","NTB",31.28,37.99,"UP",1722397975,"Finance",174900000,335200000,1217,3,9.05,0,4.78,1.96,10.42,0.21,3.51,0.72,0.184,0.261,0.493,50250000,1.4
"nyse","NTR",49.43,74.63,"UP",45671284378,"Industrials",9.38e+09,4.83e+10,23500,2.1,4.35,0.53,1.09,1.11,23.87,0.44,16.83,0.7049,0.28,0.106,0.194,550050000,0.87
"nyse","NTST",18.75,22.73,"UP",937858195,"Real Estate",7400000,86800000,23,1.5,119.04,10.09,11.72,0.94,82.02,0.41,0.16,0,0.008,0,0.085,54880000,0
"nyse","NTZ",11.45,13.9,"UP",59734966,"Consumer Discretionary",-2100000,447500000,4262,0,0,0,0.11,0.56,2.91,0,-0.23,0.17,-0.025,0.029,-0.005,1e+07,1.75
"nyse","NUE",52.51,113.85,"UP",33805780000,"Industrials",0,4.315e+10,28800,2.9,4.09,0.1,0.8,2.1,0,0.44,32.85,0.828,0,0.364,0,263220000,1.5
"nyse","NUS",55.35,51.08,"DOWN",1935622883,"Health Care",113500000,2.48e+09,4600,2.5,16.02,2.35,0.7,1.9,26.57,0.45,2.21,0.928,0.122,0.115,0.046,50370000,1.22
"nyse","NUVB",11.2,8.45,"DOWN",475772574,"Health Care",-103300000,0,85,2,0,0,0,0.66,0,0,-0.49,0.716,-0.141,0,0,216600000,0
"nyse","NVGS",10.43,8.74,"DOWN",978164000,"Consumer Discretionary",7e+06,478700000,124,1.2,132.02,14.67,2.08,0.87,9.79,0.73,0.1,0.205,0.006,-0.002,0.015,77270000,1.75
"nyse","NVO",71.43,111.45,"UP",245740364545,"Health Care",6.71e+09,2.088e+10,50816,1.3,39.32,20.16,9.9,26.39,44.28,0.34,2.93,0.087,0.728,0.486,0.321,2.27e+09,0.52
"nyse","NVR",4040.65,5906.03,"UP",13678817542,"Consumer Discretionary",1.61e+09,1.008e+10,6600,2.4,9.24,3.85,1.31,4.55,10.99,0.31,447.79,0.868,0.482,0.285,0.14,3290000,0.94
"nyse","NVRO",171.54,82.07,"DOWN",1367209160,"Health Care",-139500000,3.88e+08,945,3.1,0,0,3.54,6.12,0,0,-3.98,0.9853,-0.511,-0.245,-0.36,35320000,0.75
"nyse","NVS",94.37,87.46,"DOWN",174015900000,"Health Care",2.18e+10,5.226e+10,108000,2.2,8.43,2.37,3.77,2.91,37.59,0.47,9.71,0.094,0.345,0.097,0.417,2.17e+09,0.55
