"Symbol","Start","End","Label","Market.Cap","Sector","Income","Sales","Employees","Analyst.Rating..1.buy.5.sell.","price.to.earnings","Price.Earnings.to.Growth","Price.to.Sales.Ratio","Price.to.Book","Price.to.free.cash.flow","debt.to.equity","EPS..ttm.","Inst.Own","ROE","ROI","Profit.Margin","Shs.Outstand","Beta"
"EFX",187.96,291.54,"UP",20677021855,"Finance",710200000,5.18e+09,12700,2.3,28.82,3.02,3.93,5.4,933.98,1.56,5.75,0.975,0.19,0.106,0.137,122400000,1.43
"EGHT",33.75,17.46,"DOWN",451830098,"Technology",-126800000,713300000,2216,2.5,0,0,0.7,3.7,16.35,3.7,-1.09,0.99,-1.198,-0.244,-0.246,119720000,1.42
"EGP",132.6,226.54,"UP",6795371382,"Real Estate",219400000,464600000,82,2.7,29.31,3.81,14.5,3.36,64.9,0.85,5.25,0.958,0.122,0.05,0.472,43470000,0.92
"EGY",1.85,3.28,"UP",560399383,"Energy",93400000,291900000,117,0,3.27,0,1.9,1.82,18.73,0.01,1.58,0.341,0.647,0.702,0.32,109140000,1.63
"EHC",65.47,52.48,"DOWN",5401960672,"Health Care",391100000,5.22e+09,28000,1.6,14.02,1.05,1.03,2.72,45.38,1.64,3.92,0.968,0.202,0.128,0.075,99200000,1.08
"EIG",31.75,41.14,"UP",1198124575,"Finance",5.6e+07,691500000,608,2.7,22.1,2.21,1.73,1.31,44.07,0.02,1.99,0.809,0.053,0.099,0.081,27310000,0.22
"EIX",60.49,67.63,"UP",22786746784,"Utilities",5.07e+08,1.661e+10,13003,2.4,43.39,9.97,1.32,1.59,0,2.12,1.33,0.902,0.044,0.039,0.037,381870000,0.74
"EL",254.99,367.34,"UP",71499789508,"Consumer Discretionary",2.39e+09,1.774e+10,63000,2,31.54,2.9,4.02,13.19,61.49,0.97,6.53,0.921,0.398,0.231,0.135,357900000,0.96
"ELAN",30.5,28.71,"DOWN",6194294798,"Health Care",-1.75e+08,4.65e+09,9000,2.8,0,0,1.36,0.92,14.87,0.85,-0.36,0,-0.023,-0.017,-0.038,488400000,0.92
"ELF",25.1,32.62,"UP",2265784513,"Consumer Discretionary",2.8e+07,417700000,303,2,96.38,13.48,6.23,7.77,65.19,0.29,0.52,0.97,0.09,0.063,0.067,51710000,1.52
"ELME",21.27,25.78,"UP",1668074518,"Real Estate",-34700000,198500000,53,2.7,0,0,8.27,1.27,117.33,0.42,-0.4,0.966,-0.027,0,-0.175,87450000,0.91
"ELP",6.98,5.65,"DOWN",19142193481,"Utilities",432200000,4.71e+09,5950,3,48.54,0,0.79,5.29,0,0.64,0.16,0.102,0.155,0.124,0.137,2.74e+09,0.63
"ELS",60.47,87.15,"UP",11939020971,"Real Estate",277100000,1.42e+09,4100,2.2,43.14,6.16,8.01,7.87,27.84,2.28,1.42,0.956,0.192,0.08,0.195,185810000,0.63
"ELV",318.58,467.15,"UP",130295969774,"Health Care",6.21e+09,1.5325e+11,98200,1.8,20.73,1.75,0.83,3.52,13.78,0.66,25.49,0.941,0.173,0.117,0.041,239600000,0.94
